        B,        I,        MP,        R,        V,       Kp,      DEC,    PM_RA,   PM_DEC,  H_2MASS,  J_2MASS,  K_2MASS ID,RA
14.756,13.9671,99.2862,13.9997,14.1489,14.116489999999999,11.596805999999999,0.6629,0.5774,12.719000000000001,13.023,   12.672  0000403,132.77972
12.2654,11.808,0.0,11.4647,11.6943,11.610439999999999,11.596711,33.9689,-27.4561,10.224,10.530999999999999,   10.176  0000404,132.68176
16.4123,14.2939,0.0,14.7393,15.2148,14.85092,11.599841,9.7969,-12.1171,12.530999999999999,13.089,   12.372  0000410,132.89245
15.231,14.3187,97.2781,14.3967,14.5596,14.49036,11.59966,-0.8113,-4.5902,13.024000000000001,13.343,   12.942  0000412,132.77723999999998
20.2763,17.0881,66.1254,18.304,18.9809,18.15867,11.600257000000001,1.2298,-11.6404,15.045,15.647,   14.725  0000413,132.77947
19.6067,16.7245,90.7148,17.4751,18.2034,17.57676,11.602227000000001,0.0464,-3.6365,14.689,15.482000000000001,   14.700  0000417,132.92582
20.4725,17.1459,81.1887,18.2308,19.0913,18.26059,11.602798,-1.4658,1.179,15.177,15.800999999999998,   14.958  0000422,132.91148
18.0627,15.6679,96.0405,16.2092,16.8397,16.31779,11.602514,0.4002,-4.0207,13.734000000000002,14.43,   13.651  0000423,132.83472
17.0174,16.1293,52.1327,16.2464,16.4086,16.36511,11.602951,3.1841,-3.9818,14.970999999999998,15.214,   14.764  0000424,132.90659
17.1496,15.546,98.0511,15.8044,16.204,15.95006,11.602727,-0.5836,-3.1122,13.963,14.392999999999999,   13.814  0000425,132.87726
13.897,13.1364,99.1635,13.1412,13.3398,13.27741,11.60346,-0.3768,-1.4182,11.965,12.207,   11.910  0000427,132.88397
17.2252,16.1836,72.044,16.3135,16.547,16.43086,11.602253999999999,3.1597,-5.7749,14.821,15.232999999999999,   14.914  0000429,132.54433999999998
18.4264,16.9206,4.9399,17.1752,17.5282,17.3331,11.604219,7.2658,0.4512,15.244000000000002,15.805,   15.134  0000430,132.86516
11.9432,10.9847,0.0,10.9884,11.1875,11.137739999999999,11.604878999999999,-5.4159,-52.7978,9.495,9.833,    9.373  0000434,132.94195
-99.999,17.6181,58.3365,18.8985,19.2766,18.803079999999998,11.604814,2.296,-3.6602,15.616,16.279,   15.254  0000435,132.87062
14.9218,13.8692,99.1519,13.9851,14.1839,14.10695,11.607977,-1.0577,-1.3765,12.505999999999998,12.854000000000001,   12.439  0000444,132.92943
-99.999,17.1081,38.5568,19.1028,19.8304,18.698610000000002,11.608149000000001,9.7269,7.8219,14.933,15.548,   14.721  0000445,132.92297
13.9032,13.3674,58.4135,13.3237,13.4541,13.4445,11.609404,-3.9277,3.4831,12.257,12.470999999999998,   12.197  0000447,132.96085
20.723,17.3668,76.5979,18.4117,19.2634,18.38816,11.608102,0.6583,0.1138,15.273,15.945,   15.113  0000448,132.68344
19.4955,16.5818,85.0549,17.4637,18.1924,17.480620000000002,11.607386,1.7552,-2.4502,14.414000000000001,15.092,   14.383  0000450,132.44931
21.0341,17.8222,86.7778,18.7817,19.4691,18.79215,11.609900999999999,-11.0564,-8.1259,15.585999999999999,16.482,   15.544  0000451,132.73397
16.9374,15.598,0.6064,15.7502,16.0764,15.931989999999999,11.612124,6.4963,-2.953,14.110999999999999,14.505,   13.970  0000454,132.94744
20.1031,19.5874,-1.0,19.3883,19.7539,19.57946,11.611202,-999.9999,-999.9999,-99.999,-99.999,  -99.999  0000455,132.73203
14.6681,13.9902,0.0,13.9885,14.1197,14.107289999999999,11.613149,-7.3494,7.8558,12.773,13.059000000000001,   12.762  0000459,132.96623
16.0865,14.8563,0.0,15.0141,15.2825,15.145270000000002,11.612283,11.2725,0.4857,13.411,13.799000000000001,   13.351  0000462,132.72628
17.8193,15.8866,98.5195,16.2608,16.732,16.42526,11.613658000000001,-0.9477,-1.6068,14.065999999999999,14.69,   14.024  0000463,132.9275
15.6972,14.3686,99.1287,14.5891,14.8535,14.71089,11.614303,0.2325,-0.1452,12.932,13.341,   12.829  0000465,132.90422
20.8138,18.4183,41.9826,19.0088,19.4763,18.58116,11.614848,10.8195,0.9315,-99.999,-99.999,  -99.999  0000467,132.88166
14.5098,13.5805,0.0,13.6342,13.8617,13.75847,11.612801,-22.5983,-14.3606,12.198,12.517000000000001,   12.113  0000468,132.49233999999998
13.999,13.283,98.6697,13.3261,13.443,13.390239999999999,11.614841,0.0723,-2.1774,12.139000000000001,12.355,   12.066  0000469,132.78092
17.1317,15.4668,66.8149,15.7594,16.1655,16.30309,11.614624000000001,4.0878,-1.581,13.753,14.217,   13.613  0000471,132.67675
13.4297,12.4534,99.2997,12.4763,12.747,12.599910000000001,11.614578,-1.0347,-0.4595,11.062000000000001,11.41,   10.998  0000472,132.67496
18.3399,15.5833,0.0024,16.3081,16.958,16.387529999999998,11.615853,8.1222,-3.5484,13.62,14.235999999999999,   13.464  0000474,132.84628
21.2715,17.4398,58.3508,18.9467,19.9215,18.75453,11.615802,1.5645,-11.0355,15.395,16.14,   14.985  0000475,132.81755
18.3327,17.7362,2.7908,17.6246,17.8221,17.77611,11.615971,10.4323,3.4086,-99.999,-99.999,  -99.999  0000476,132.83778999999998
13.8007,13.1773,0.0,13.1764,13.2983,13.291970000000001,11.617397,-7.4845,8.2111,12.035,12.251,   11.966  0000477,132.96263000000002
-99.999,18.5546,50.2534,19.1639,19.0601,18.7572,11.616933,6.1434,4.8205,15.892999999999999,16.789,   15.101  0000478,132.88143
20.1383,18.2472,55.7784,18.8929,19.2659,18.438860000000002,11.616792,4.0942,-2.8542,15.449000000000002,16.442,   14.986  0000479,132.85988
20.4095,17.09,88.3058,18.0673,18.8212,17.98177,11.615962,-0.1926,0.4432,15.058,15.645,   14.847  0000480,132.65084
12.7324,12.4004,99.5298,12.25,12.3487,12.37324,11.617696,-0.112,-0.0639,11.411,11.55,   11.341  0000484,132.90703
19.3267,18.6607,9.0374,18.6119,18.85,18.70446,11.618775999999999,13.7879,-0.8748,-99.999,-99.999,  -99.999  0000486,132.95911
16.6632,15.3255,0.0,15.5053,15.7991,15.65586,11.6181,12.9014,-2.2249,13.741,14.257,   13.685  0000487,132.80662
19.2758,17.6339,6.7574,17.9467,18.2111,17.69526,11.618996000000001,15.8111,3.1665,15.249,15.788,   14.704  0000492,132.86213
17.2259,15.5948,99.0088,15.8743,16.2851,16.00796,11.618269,-1.9494,-0.1331,13.888,14.424000000000001,   13.820  0000494,132.65046999999998
-99.999,17.9301,73.6841,19.2109,19.8051,22.26914,11.618203999999999,-5.3193,6.0067,15.977,16.594,   14.925  0000495,132.62348
-99.999,17.5722,31.4609,19.2853,19.6528,18.9958,11.620071000000001,25.7876,0.7924,15.457,15.92,   15.218  0000498,132.89328999999998
18.7794,15.9496,92.1645,16.8269,17.4584,16.838829999999998,11.619521,1.4107,-0.7384,13.940999999999999,14.648,   13.835  0000502,132.58454
20.2857,18.8617,57.5423,19.0064,19.5962,19.15939,11.621738,4.3515,-3.7872,-99.999,-99.999,  -99.999  0000503,132.9636
16.7826,15.0093,0.0,15.345,15.8014,15.49797,11.62224,-13.842,-6.9334,13.186,13.764000000000001,   13.073  0000504,132.96692
18.6878,17.9782,11.9117,17.9375,18.108,18.08792,11.621532,9.2909,4.0834,-99.999,-99.999,  -99.999  0000508,132.62745
15.8457,14.8056,98.1504,14.855,15.0684,14.962179999999998,11.621638,-0.6294,-0.4779,13.32,13.702,   13.266  0000510,132.59585
19.4811,16.6695,92.9826,17.4072,18.2244,17.50434,11.623600999999999,1.0157,0.8281,14.74,15.388,   14.544  0000512,132.88533999999999
-99.999,17.128,39.5257,18.7234,18.9758,18.24803,11.623492,8.8398,3.3921,15.172,15.744000000000002,   14.829  0000513,132.78255
20.1478,17.0293,89.2267,17.9615,18.639,17.957620000000002,11.62323,0.0572,0.1319,15.002,15.624,   14.697  0000514,132.66871
16.8592,15.414,97.6068,15.6736,16.0322,15.80512,11.622456,-5.3133,-1.5979,13.86,14.32,   13.740  0000515,132.55541000000002
18.3269,15.7659,0.0,16.3365,16.9863,16.46105,11.624024,14.4424,-15.1173,13.772,14.453,   13.647  0000516,132.79136
